UniqueCount	AmbigCount
0	0
0	0
0	0
0	820
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
43	211
1	19
0	3
1	151
0	55
0	3
1	196
0	191
0	0
3	3
0	1546
0	0
0	0
0	0
1	0
0	0
2	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
489	423
0	42
44	141
0	76
0	69
0	132
2	110
0	80
0	32
0	24
0	0
0	0
0	0
0	0
26	628
0	496
4	211
0	166
1	19
0	1
1	15
0	37
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	19
19	19
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	31
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	249
0	1
0	0
0	0
0	0
0	53
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
2828	0
1	1
7	339
14	331
1	26
0	47
1	287
0	11801
1	1
0	0
3	313
0	910
0	867
1	297
1	467
11	758
0	156
0	139
2	0
3	40
0	34
2	88
2	18
0	17
0	891
0	0
0	0
0	0
0	0
0	0
0	0
0	0
37	48
1	48
0	4
0	8
0	17
1029	95
0	35
18	2553
3	336
0	554
57	2567
0	1728
0	1627
0	320
1	601
2	77
0	40
3	35
1	98
0	121
0	110
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	1
0	1
1	7
0	7
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14
0	0
0	16
2	62
0	0
0	62
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
0	17
1	0
1	0
2	199
0	43
0	186
0	24
0	19
0	198
0	0
1	198
0	0
0	0
0	0
0	0
0	677
0	635
0	516
13	547
2	485
21	562
1	487
0	94
4	33
0	68
1	106
6	79
0	99
0	0
0	258
352	286
1	246
0	232
0	23
0	56
0	0
2	222
403	363
0	167
0	152
0	0
0	2
0	0
0	0
674	1324
5	704
0	620
0	0
0	0
109	433
0	232
0	91
1	99
0	76
0	17
12	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
27	607
0	575
0	490
0	389
1	135
